Date,Month,Day,CasesTotal,DeathsTotal,HospitalizationsTotal,CasesAge 017,CasesAge 1829,CasesAge 3039,CasesAge 4049,CasesAge 5059,CasesAge 6069,CasesAge 7079,CasesAge 80plus,CasesAge Unknown,Cases Female,Cases Male,Cases Unknown Gender,CasesLatinx,CasesAsianNonLatinx,CasesBlackNonLatinx,CasesWhiteNonLatinx,CasesOtherRaceNonLatinx,CasesUnknownRaceEthnicity,Deaths - Age 0-17,Deaths - Age 18-29,Deaths - Age 30-39,Deaths - Age 40-49,Deaths - Age 50-59,Deaths - Age 60-69,Deaths - Age 70-79,Deaths - Age 80+,Deaths - Age Unknown,Deaths - Female,Deaths - Male,Deaths - Unknown Gender,DeathsLatinx,DeathsAsianNonLatinx,DeathsBlackNonLatinx,DeathsWhiteNonLatinx,DeathsOtherRaceNonLatinx,DeathsUnknownRaceEthnicity,Hospitalizations - Age 0-17,Hospitalizations - Age 18-29,Hospitalizations - Age 30-39,Hospitalizations - Age 40-49,Hospitalizations - Age 50-59,Hospitalizations - Age 60-69,Hospitalizations - Age 70-79,Hospitalizations - Age 80+,Hospitalizations - Age Unknown,Hospitalizations - Female,Hospitalizations - Male,Hospitalizations - Unknown Gender,HospitalizationsLatinx,HospitalizationsAsianNonLatinx,HospitalizationsBlackNonLatinx,HospitalizationsWhiteNonLatinx,HospitalizationsOtherRaceNonLatinx,HospitalizationsUnknownRaceEthnicity
09/02/2020,9,2,403,3,12,41,124,82,66,46,26,12,6,0,223,180,0,161,7,59,86,14,76,0,0,0,0,1,1,0,1,0,1,2,0,1,0,1,1,0,0,0,1,4,2,2,3,0,0,0,4,8,0,7,0,2,3,0,0
09/19/2020,9,19,165,2,12,11,47,38,23,24,15,3,4,0,86,77,2,54,2,17,31,11,50,0,0,0,0,0,0,0,2,0,1,1,0,0,0,1,1,0,0,1,1,1,0,2,3,1,3,0,9,2,1,6,0,5,1,0,0
06/26/2020,6,26,218,13,23,18,61,49,29,25,17,11,8,0,121,96,1,68,4,41,41,5,59,0,0,1,2,0,0,4,6,0,6,7,0,1,0,5,7,0,0,2,0,1,2,4,6,3,5,0,9,14,0,6,2,11,2,2,0
08/28/2020,8,28,377,4,15,63,107,60,50,48,29,15,5,0,176,200,1,164,7,66,67,15,58,0,0,1,0,1,0,2,0,0,4,0,0,2,0,2,0,0,0,1,1,1,3,1,2,3,3,0,8,7,0,3,0,10,1,1,0
08/26/2020,8,26,386,2,23,48,126,81,42,45,23,12,9,0,195,189,2,190,5,44,85,18,44,0,0,0,0,0,0,1,1,0,0,2,0,0,0,1,1,0,0,1,4,2,1,4,3,4,4,0,13,10,0,10,1,6,3,2,1
09/25/2020,9,25,130,2,,8,38,27,20,19,10,7,1,0,72,58,0,32,7,20,25,8,38,0,0,0,0,1,0,0,1,0,1,1,0,0,0,2,0,0,0,,,,,,,,,,,,,,,,,,
09/15/2020,9,15,349,1,13,54,95,68,48,41,26,14,3,0,185,163,1,154,4,44,79,11,57,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,3,1,3,3,1,0,6,7,0,7,1,3,2,0,0
05/13/2020,5,13,875,45,95,56,188,166,163,134,96,40,32,0,449,419,7,419,14,122,69,27,224,0,0,2,3,4,13,10,13,0,17,28,0,18,5,14,6,1,1,2,4,6,10,18,26,18,11,0,52,43,0,39,2,41,9,2,2
06/20/2020,6,20,124,10,16,18,32,17,21,19,5,9,3,0,64,60,0,69,1,15,18,4,17,0,0,1,0,2,2,1,4,0,3,7,0,8,0,1,1,0,0,3,3,2,1,2,2,0,3,0,9,7,0,10,0,4,2,0,0
04/30/2020,4,30,1277,40,167,57,231,223,227,187,150,98,104,0,622,625,30,537,23,212,147,48,310,0,0,3,0,4,8,11,14,0,17,23,0,13,1,18,8,0,0,1,11,16,13,33,38,25,30,0,74,91,2,59,8,55,30,11,4
